"Frage","Antwort"
"Wo haben wir uns verlobt?","Paris"
"Der Name unseres ersten gemeinsamen Haustiers","Anjo"
"Nachbar","Richard"
"Anzahl Fahrzeuge verkauft","Sieben"
"Erstgeborener","Cedric"
"Die Lebendige","Vivienne"
"Programmiersprache","Python"
"Restaurant in der Schweiz","Sporrer"
"Bier","Feldschlösschen"
"Rhein-Zufluss","Aare"
"Alle zwei","Beide"
"Vierter griechischer Buchstabe","Delta"
"Gewässer","Weidenbach"
"Automarke","Buick"
"Badeort","Binz"
"Alligatorenheimat","Everglades"
"Maya-Stätte","Tulum"
"Mit Wasser gefülltes Loch","Cenote"


https://www.xwords-generator.de/de	


EFTUAMHQQCYLMAIMABKW
DER TISCH HAT ES IN SICH
JASMIN

http://kryptografie.de/kryptografie/chiffre/playfair.htm
